14	13	15	17	13	11	14	12
7	18	21	12	16	14	20	15
13	9	13	11	16	11	14	11
6	11	9	24	18	12	13	9
12	16	14	18	7	14	11	13
11	10	11	14	17	14	14	9
19	8	18	14	5	13	9	15
19	11	7	8	12	9	14	15
18	18	13	10	17	20	12	9
11	14	12	11	12	9	10	16
10	8	11	15	14	12	19	18
14	19	15	12	6	14	16	11
8	12	12	16	7	10	15	9
14	12	9	13	14	17	17	12
14	12	15	16	7	15	10	16
12	18	16	12	11	11	10	12
5	9	9	9	10	10	14	15
12	13	10	12	19	12	10	17
13	15	10	12	12	15	16	7
14	9	17	9	18	19	12	13
16	10	15	14	15	17	7	9
9	14	15	11	11	14	16	10
10	22	16	16	12	17	12	16
8	11	12	14	16	14	16	16
12	21	18	19	10	11	17	13
11	15	13	8	11	14	15	16
11	12	16	18	17	22	9	17
9	16	20	11	8	16	7	14
11	9	13	12	12	13	13	16
20	13	14	19	18	20	12	17
21	14	18	12	6	16	13	12
14	16	10	16	12	5	17	18
13	16	14	11	8	6	12	11
13	14	15	17	13	17	5	9
12	14	12	17	12	16	16	14
16	11	13	10	13	16	14	14
19	6	15	14	17	12	13	10
18	15	14	10	12	10	10	11
15	11	18	12	8	17	9	13
11	11	10	16	9	17	16	17
12	20	9	13	15	17	15	12
16	15	12	15	14	8	5	9
11	14	16	16	8	15	16	17
9	13	14	11	11	12	10	15
16	9	16	19	15	9	15	16
6	14	13	10	13	16	10	7
15	9	15	12	8	12	10	13
14	19	8	13	11	17	15	10
16	21	11	12	15	19	10	15
14	16	10	6	12	8	11	21
7	15	17	7	14	11	12	11
14	17	13	15	17	18	15	14
18	15	12	12	16	8	14	15
15	14	15	15	13	16	16	19
17	13	12	11	15	10	20	13
10	14	10	14	12	19	11	7
22	8	12	10	9	14	8	12
13	10	14	8	15	11	14	13
15	9	14	9	15	11	12	7
12	9	12	20	7	16	15	20
14	12	15	10	11	9	19	13
14	16	12	8	4	9	8	16
17	14	16	10	15	12	10	11
12	20	11	11	10	14	10	13
15	16	12	10	11	13	7	14
14	13	14	27	11	21	9	12
9	17	7	10	8	18	13	10
10	18	12	13	10	16	11	17
15	12	14	18	12	13	8	20
12	11	9	14	10	16	16	14
7	10	17	12	11	8	16	12
9	11	10	15	13	13	14	10
11	10	16	6	9	17	13	11
11	16	10	17	15	7	10	15
17	8	11	12	15	16	15	9
8	8	21	11	8	13	12	16
14	19	11	16	21	10	5	14
15	12	11	13	19	16	16	13
12	14	9	11	13	18	9	9
9	20	10	15	14	17	8	10
10	9	14	19	10	12	20	7
17	7	8	12	9	11	14	19
16	10	11	19	7	10	4	12
14	12	13	15	14	11	12	11
14	11	15	14	12	14	20	13
16	9	14	16	9	18	6	13
9	16	13	8	21	14	14	10
18	9	14	14	13	16	11	14
7	12	9	16	23	11	13	12
16	9	7	16	16	20	10	11
15	7	15	11	4	18	14	17
21	13	17	19	18	15	17	13
15	8	9	10	13	13	18	13
9	16	8	11	13	10	14	13
14	9	20	18	18	17	20	14
16	9	13	16	11	18	13	10
14	8	19	9	13	16	6	14
10	15	12	5	17	11	15	13
17	15	20	10	13	13	12	8
14	13	11	9	16	11	15	13
10	6	19	18	10	14	16	19
11	14	11	12	17	9	21	11
19	21	10	10	16	13	11	14
7	18	19	12	20	8	12	12
20	15	13	8	7	16	12	16
14	6	9	12	10	14	16	13
18	11	18	10	15	12	10	9
16	11	7	15	9	13	13	10
11	9	14	23	18	9	22	9
12	16	12	18	6	12	16	16
18	20	21	7	12	13	12	17
13	20	17	9	16	14	11	12
17	12	14	11	9	18	16	13
18	19	13	9	19	26	17	13
16	11	15	10	14	7	11	14
17	15	7	11	8	14	6	10
15	13	16	13	10	17	9	11
12	16	10	7	13	7	12	18
6	18	12	15	14	13	19	11
13	12	8	18	15	14	15	12
