9	12	20	11	17	8
12	11	17	12	11	8
10	8	17	9	9	12
7	5	18	10	20	10
18	7	16	8	18	9
11	8	17	18	9	14
15	9	14	14	6	8
14	4	15	17	9	8
10	9	20	11	11	12
17	4	9	9	12	8
21	7	13	14	14	10
13	10	23	10	14	11
15	9	13	14	14	8
18	15	15	14	10	7
13	10	16	15	17	15
14	13	15	13	10	10
12	11	18	12	10	12
14	10	17	8	12	14
13	13	14	11	14	6
12	8	16	11	22	13
16	12	13	16	12	10
12	8	19	14	15	9
13	14	16	11	11	10
9	12	15	15	18	9
11	11	16	8	23	11
11	7	19	14	16	6
14	13	8	7	13	9
13	6	6	20	16	15
14	12	12	11	15	10
12	7	14	12	10	13
15	12	18	8	12	10
9	7	17	10	17	6
17	7	19	11	17	15
14	6	16	16	12	12
13	12	19	11	15	12
11	11	9	16	9	8
10	8	12	17	13	11
15	10	15	16	9	6
19	5	17	19	22	9
21	7	13	15	19	12
14	8	12	8	12	9
8	14	11	16	9	7
14	6	16	13	12	4
10	11	11	9	7	10
21	7	11	11	13	11
13	14	13	20	12	12
21	14	10	4	7	11
9	15	11	8	9	8
16	11	16	15	11	11
13	12	17	9	22	11
11	11	13	21	25	9
14	9	11	7	26	13
18	5	11	12	9	10
14	12	19	10	15	12
11	9	11	9	12	16
18	9	17	10	9	9
15	9	13	10	7	10
13	8	13	11	12	11
18	5	12	12	10	8
16	9	17	10	12	8
13	9	23	13	14	12
12	13	17	12	15	12
9	11	14	11	21	14
16	13	17	14	14	6
11	9	7	13	14	14
15	8	16	11	21	13
5	13	12	7	18	10
13	7	22	12	15	13
15	11	22	12	18	15
15	5	12	10	14	10
13	10	19	14	9	10
12	5	19	18	17	7
17	14	18	9	14	7
16	11	19	14	4	9
14	12	15	10	11	14
10	5	15	8	9	9
14	12	21	11	9	8
15	6	17	12	17	9
17	8	15	7	14	10
9	10	15	14	15	9
8	8	22	10	20	12
16	6	19	12	16	11
13	11	18	12	14	9
16	7	13	9	22	8
9	5	13	12	12	12
15	5	18	11	9	14
12	12	15	17	20	13
11	11	26	17	17	10
14	13	14	18	13	16
17	13	20	13	10	11
11	7	13	14	20	9
16	8	15	14	14	10
12	11	16	8	8	10
17	8	13	13	15	10
13	5	13	16	16	11
15	11	16	14	10	8
13	9	12	10	25	7
11	10	11	15	14	10
6	12	20	13	15	14
13	10	14	12	15	14
10	11	23	12	12	10
15	11	12	11	17	8
11	16	13	12	17	6
18	13	14	10	18	14
14	8	19	17	21	12
13	7	18	13	14	13
18	11	11	13	13	7
10	10	16	10	17	9
9	11	15	19	18	9
13	15	21	14	19	12
23	3	15	14	12	10
12	10	9	13	15	10
9	18	14	16	15	17
10	5	20	12	16	7
11	8	16	9	15	13
15	10	20	10	15	9
18	10	14	17	17	7
12	8	24	10	16	7
10	12	12	8	19	12
19	17	9	10	14	16
