17	11	11	15	14	18	16	10
8	18	10	10	19	10	19	10
14	21	12	10	7	12	15	15
15	19	14	12	13	16	13	15
12	11	13	6	9	13	12	10
10	15	11	14	8	9	14	14
12	7	13	14	16	12	13	14
14	14	14	8	13	12	12	13
6	11	11	7	10	12	11	6
16	13	8	11	14	12	12	10
8	7	18	12	12	15	14	18
12	20	12	12	19	9	12	12
12	16	18	11	8	14	11	13
11	12	10	10	13	19	9	17
11	14	11	19	11	11	11	9
11	13	16	15	8	12	16	10
14	14	11	11	15	8	7	18
19	11	17	12	10	12	11	11
9	18	11	7	8	12	10	9
8	15	13	11	16	13	7	7
8	16	12	10	7	13	8	11
6	14	10	12	11	10	12	16
11	21	23	15	9	12	15	11
12	19	15	17	13	9	17	10
8	9	16	13	17	10	9	10
14	8	14	7	11	11	10	15
11	15	15	15	13	12	8	17
23	11	8	11	8	13	13	17
13	6	11	16	13	13	18	8
12	14	14	17	14	9	7	14
11	8	12	10	10	14	18	10
9	20	12	17	8	16	14	11
13	16	6	13	9	7	14	13
8	16	13	14	9	13	19	10
17	8	10	12	10	15	15	11
8	9	16	15	7	13	8	10
14	9	16	11	8	14	14	8
10	15	4	10	10	13	18	8
17	16	15	13	7	12	15	12
16	11	8	13	15	12	14	13
12	12	15	9	11	16	14	19
17	14	14	7	13	9	8	11
7	9	16	12	14	8	19	17
3	15	21	18	11	7	4	8
12	8	14	11	12	11	13	19
10	8	12	10	15	12	20	12
10	22	14	13	9	5	16	8
8	14	11	12	7	21	16	8
17	11	17	20	8	13	15	6
9	14	10	8	10	10	19	13
8	13	10	12	13	17	9	13
7	13	16	9	15	13	13	11
13	14	9	5	12	10	10	18
7	15	15	5	11	10	9	11
10	12	13	19	9	12	9	12
9	15	9	11	11	10	11	12
12	15	19	7	14	8	16	9
13	11	10	18	17	11	9	11
13	11	8	15	12	13	7	15
9	9	9	16	12	15	13	19
11	18	11	18	10	12	6	10
16	5	13	11	18	7	7	12
10	12	13	13	5	6	8	13
11	11	9	6	8	10	14	9
15	14	9	9	12	15	14	11
10	12	10	20	8	6	15	7
16	10	9	11	18	10	10	9
5	12	12	7	10	13	9	14
17	9	10	14	10	17	15	11
16	15	11	17	9	4	15	11
11	11	12	12	14	7	7	14
12	15	16	12	8	9	12	14
14	7	15	16	15	12	15	18
11	15	8	14	8	11	9	12
15	17	12	9	9	6	13	14
9	10	18	9	14	10	11	11
9	6	13	7	10	15	16	10
10	12	10	10	10	11	15	16
14	16	11	13	19	19	16	14
9	10	12	9	11	15	17	18
18	20	13	16	11	10	15	9
13	15	10	14	11	8	10	12
16	12	6	18	13	10	10	11
15	16	9	17	8	14	7	16
14	12	6	15	11	13	10	11
9	15	11	9	9	12	10	14
13	14	10	8	14	15	11	14
12	11	14	7	20	13	5	10
13	17	6	15	11	13	7	15
12	8	11	15	14	9	16	11
8	10	10	11	21	13	18	9
8	14	9	10	16	12	13	12
6	7	17	15	12	18	16	16
9	13	12	13	8	9	14	8
7	10	8	13	8	13	10	10
8	7	9	12	13	20	14	12
12	15	13	8	13	11	9	10
18	16	18	14	8	11	13	19
10	13	12	9	10	13	15	10
14	8	18	11	6	10	7	8
6	14	9	12	7	8	9	5
14	11	5	16	10	12	16	16
7	8	9	11	17	9	8	18
11	20	9	6	7	17	10	13
23	10	16	7	8	14	23	18
13	13	11	11	14	16	7	6
18	15	12	14	12	18	8	15
13	15	13	19	6	11	20	14
13	4	11	13	19	7	12	12
11	10	11	15	13	14	9	10
28	8	9	15	5	16	10	15
16	17	13	11	15	17	18	15
17	14	14	12	8	11	8	11
5	11	9	12	13	17	13	10
12	6	16	9	12	12	9	9
14	11	12	8	15	8	13	13
19	17	9	14	8	16	11	6
11	10	13	11	8	8	13	12
13	16	13	17	9	9	11	11
12	8	10	9	7	11	9	11
