26,0.802699,1.44898,0.598953,1,0.963333,1,0.48
时间1,(9162,5256),(6390,1404),(5598,4356),(13050,5346),(9972,5256),(10296,7182),(10188,2628),(11304,2160),(13266,5292),(9180,2664),(8298,1908),(6336,2358),(6984,4050),(6408,4860),(8064,7146),(4158,6084),(4158,6084),(1692,5832),(1728,5652),(2178,864),(3132,2916),(1638,1656),(5184,1908),(5796,936),(4068,1386),(3852,3330)
时间2,(9162,4922.66),(6624,1332),(5472,4356),(13266,5292),(9986.8,4922.99),(10275.2,6849.31),(10495.4,2499.09),(11637.2,2150.74),(13243,4959.46),(9198,2340),(8277.83,1575.27),(6282,2142),(7020,3852),(6390,4662),(7730.78,7137.23),(3888,6066),(4104,5868),(1728,5652),(2059.35,5615.69),(2510.51,840.489),(2798.7,2911.43),(1743.41,1339.77),(5508,1908),(5832,738),(4398.24,1340.67),(3804.86,3000.01)
时间3,(9162,4662),(6704.85,1008.62),(5292,4284),(13465,5559.41),(10001.6,4589.99),(10254.4,6516.63),(10802.8,2370.18),(11952,2142),(13220,4626.92),(8864.73,2346.41),(8262,1314),(6156,2142),(7352.18,3879.68),(6408,4860),(7397.56,7128.46),(4158,6084),(3888,6066),(1692,5832),(2390.7,5579.37),(2843.01,816.979),(2465.39,2906.87),(1848.82,1023.54),(5184,1908),(5796,936),(4728.48,1295.35),(3798,2952)
时间4,(9198,4392),(6768,756),(5472,4356),(13664,5826.83),(10008,4446),(10242,6318),(11110.2,2241.27),(11618.8,2151.26),(13197,4294.38),(8531.45,2352.82),(8282.17,1646.73),(6030,1890),(7452,3888),(6741.28,4853.94),(7380,7128),(3888,6066),(3726,6012),(1728,5652),(2722.06,5543.06),(3175.52,793.468),(2132.09,2902.3),(1854,1008),(5508,1908),(6002.55,1197.63),(4986,1260),(4104,2916)
时间5,(9180,4086),(7100.82,737.51),(5292,4284),(13863,6094.24),(9993.2,4779.01),(10242,5984.66),(11304,2160),(11304,2160),(13174,3961.84),(8262,2358),(8298,1908),(5782.82,1666.36),(7785.34,3888),(7074.56,4847.88),(7713.22,7136.77),(3726,6012),(3888,6066),(2059.35,5615.69),(3042,5508),(3508.02,769.958),(1818,2898),(1748.59,1324.23),(5184,1908),(6066,1278),(4655.76,1305.33),(4437.02,2930.48)
时间6,(8846.71,4091.29),(7416,720),(5472,4356),(14062,6361.65),(9978.4,5112.01),(10242,5922),(11376,2448),(10996.6,2288.91),(13151,3629.29),(7928.86,2346.51),(7964.83,1897.59),(5652,1548),(8118.67,3888),(7398,4842),(8046.44,7145.54),(3661.66,6339.07),(4158,6084),(2390.7,5579.37),(3042,5220),(3840.53,746.447),(1764.29,2569.02),(1643.18,1640.46),(5058,1800),(6399.34,1278),(4325.52,1350.65),(4518,2934)
时间7,(8513.41,4096.58),(7429.32,386.93),(5346,4572),(14261,6629.07),(9972,5256),(9911.72,5967.04),(11709.2,2458.1),(10689.2,2417.82),(13128,3296.75),(7740,2340),(7722,1890),(5616,1278),(8316,3888),(7426.88,5174.08),(8064,7146),(3597.32,6666.13),(4104,5868),(2722.06,5543.06),(2709.18,5201.51),(3960,738),(1710.58,2240.04),(1638,1656),(5184,1908),(6408,1278),(4068,1386),(4626,2934)
时间8,(8180.12,4101.87),(7434,270),(5012.66,4572),(14418,6840),(10305.1,5243.66),(9846,5976),(11970,2466),(10381.8,2546.73),(13105,2964.21),(8073.14,2351.49),(8055.17,1900.41),(5949.34,1278),(8262,3654),(7434,5256),(8397.34,7146),(3532.98,6993.2),(3888,6066),(3042,5508),(2394,5184),(3627.49,761.511),(1674,2016),(1743.41,1339.77),(5058,1800),(6531.8,968.505),(4013.2,1057.2),(4608,2736)
时间9,(8046,4104),(7420.68,603.07),(4986,4572),(14219,6572.59),(10458,5238),(10176.3,5930.96),(11636.8,2455.9),(10188,2628),(13082,2631.67),(8262,2358),(8298,1908),(6066,1278),(7942,3560.67),(7405.12,4923.92),(8730.67,7146),(3510,7110),(4104,5868),(3042,5220),(2726.82,5202.49),(3294.99,785.021),(1341.54,2040.09),(1848.82,1023.54),(5013.95,1469.59),(6624,738),(3960,738),(4590,2502)
时间10,(8379.29,4098.71),(7416,720),(5319.34,4572),(14020,6305.17),(10124.9,5250.34),(10242,5922),(11376,2448),(10495.4,2499.09),(13068,2430),(8595.27,2351.59),(7964.83,1897.59),(5732.66,1278),(7830,3528),(7398,4842),(9064.01,7146),(3517.57,7443.25),(4158,6084),(3375.05,5233.88),(3042,5220),(2962.48,808.532),(1009.07,2064.18),(1854,1008),(4986,1260),(6500.2,1047.49),(3828.69,431.616),(4608,2736)
