10,1.13637,3.11845,0.0736991,1,0.623333,1,0.8
时间1,(9162,4662),(6624,1332),(5292,5058),(6372,5220),(7722,3636),(11142,5274),(6282,2142),(9846,5976),(4932,3348),(8118,7668)
时间2,(9198,4392),(6704.85,1008.62),(5508,4878),(6405.17,4888.32),(7506,3618),(10809.1,5256.48),(6164.96,1829.89),(9846,5642.66),(5166,3330),(8083.7,7336.43)
时间3,(9180,4086),(6768,756),(5634,4860),(6408,4860),(7722,3636),(10476.2,5238.96),(6120,1710),(9846,5309.33),(4932,3348),(8064,7146)
时间4,(8846.71,4091.29),(6687.15,1079.38),(5845.9,4602.69),(6374.83,5191.68),(7506,3618),(10458,5238),(6237.04,2022.11),(9846,5292),(5166,3330),(8098.3,7477.57)
时间5,(8513.41,4096.58),(6624,1332),(5886,4554),(6372,5220),(7722,3636),(10790.9,5255.52),(6282,2142),(9846,5625.34),(4932,3348),(8118,7668)
时间6,(8180.12,4101.87),(6876,1350),(5674.1,4811.31),(6372,5553.34),(7506,3618),(11123.8,5273.04),(6336,2358),(9846,5958.67),(5166,3330),(8118,7974)
时间7,(8046,4104),(6624,1332),(5634,4860),(6372,5886.67),(7722,3636),(11142,5274),(6282,2142),(9846,5976),(4932,3348),(7784.77,7965.67)
时间8,(8379.29,4098.71),(6876,1350),(5562,4608),(6372,6210),(7506,3618),(11475.1,5286.57),(6336,2358),(9810,6300),(5166,3330),(7451.54,7957.34)
时间9,(8712.59,4093.42),(6624,1332),(5634,4860),(6698.86,6275.37),(7722,3636),(11808.2,5299.14),(6282,2142),(10143,6313.88),(4932,3348),(7398,7956)
时间10,(9045.88,4088.13),(6876,1350),(5845.9,4602.69),(6732,6282),(7506,3618),(12141.3,5311.71),(6336,2358),(10242,6318),(5166,3330),(7731.23,7964.33)
时间11,(9180,4086),(6624,1332),(5886,4554),(6738.94,6615.26),(7722,3636),(12474.4,5324.28),(6282,2142),(10262.8,6650.69),(4932,3348),(8064.46,7972.66)
时间12,(8846.71,4091.29),(6876,1350),(5674.1,4811.31),(6745.89,6948.53),(7506,3618),(12807.5,5336.85),(6336,2358),(10283.6,6983.37),(5166,3330),(8118,7974)
时间13,(8513.41,4096.58),(6624,1332),(5634,4860),(6750,7146),(7722,3636),(13050,5346),(6282,2142),(10296,7182),(4932,3348),(7784.77,7965.67)
时间14,(8180.12,4101.87),(6876,1350),(5562,4608),(6750,7479.34),(7506,3618),(13234.1,5623.87),(6336,2358),(10321.6,7514.35),(5166,3330),(7451.54,7957.34)
时间15,(8046,4104),(6624,1332),(5634,4860),(6750,7812.67),(7722,3636),(13418.3,5901.73),(6282,2142),(10332,7650),(4932,3348),(7398,7956)
时间16,(8379.29,4098.71),(6876,1350),(5562,4608),(6750,7956),(7506,3618),(13602.4,6179.6),(6336,2358),(10306.4,7317.65),(5166,3330),(7731.23,7964.33)
时间17,(8712.59,4093.42),(6624,1332),(5634,4860),(7083.34,7956),(7722,3636),(13786.5,6457.47),(6282,2142),(10296,7182),(4932,3348),(8064.46,7972.66)
时间18,(9045.88,4088.13),(6876,1350),(5845.9,4602.69),(7398,7956),(7506,3618),(13970.6,6735.33),(6336,2358),(9962.83,7171.42),(5166,3330),(8118,7974)
时间19,(9180,4086),(6624,1332),(5886,4554),(7064.66,7956),(7722,3636),(14040,6840),(6282,2142),(9629.66,7160.85),(4932,3348),(7784.77,7965.67)
时间20,(8846.71,4091.29),(6876,1350),(5674.1,4811.31),(6750,7956),(7506,3618),(14373.3,6840),(6336,2358),(9296.5,7150.27),(5166,3330),(7451.54,7957.34)
时间21,(8513.41,4096.58),(6624,1332),(5634,4860),(7083.34,7956),(7722,3636),(14418,6840),(6282,2142),(9162,7146),(4932,3348),(7398,7956)
时间22,(8180.12,4101.87),(6876,1350),(5562,4608),(7398,7956),(7506,3618),(14544,7020),(6336,2358),(9495.17,7156.58),(5166,3330),(7731.23,7964.33)
时间23,(8046,4104),(6624,1332),(5634,4860),(7064.66,7956),(7722,3636),(14418,6840),(6282,2142),(9828.34,7167.15),(4932,3348),(8064.46,7972.66)
