30,1.0595,1.68909,0.862507,1,0.91,0.972139,0.4
时间1,(8082,4662),(6624,1332),(5562,4608),(9630,7992),(9144,7650),(13050,5346),(9162,7992),(8748,252),(8748,252),(13266,5292),(9180,2664),(8262,2358),(7506,3618),(6390,4086),(5526,2340),(8118,7974),(5580,6246),(8064,7146),(2268,6858),(4644,7110),(3042,5508),(2088,4266),(1962,3636),(1638,1656),(2178,864),(5184,1908),(6066,1278),(5796,936),(4500,3150),(4356,3348)
时间2,(8415.34,4662),(6704.85,1008.62),(5598,4356),(9595.1,7660.5),(9477.34,7650),(13266,5292),(9144.48,7659.12),(9081.29,246.351),(9081.29,246.351),(13243,4959.46),(9198,2340),(8595.27,2351.59),(7697.83,3345.4),(6408,3852),(5512.12,2006.95),(8118,7668),(5912.99,6230.86),(7730.78,7137.23),(2487.5,6607.14),(4977.34,7110),(3042,5220),(2022.63,3939.14),(1898.16,3308.83),(1743.41,1339.77),(2510.51,840.489),(5058,1800),(5859.45,1016.37),(5832,738),(4167.08,3133.35),(4644,3330)
时间3,(8748.67,4662),(6768,756),(5616,4050),(9594,7650),(9594,7650),(13465,5559.41),(9144,7650),(9414.58,240.702),(9414.58,240.702),(13220,4626.92),(8864.73,2346.41),(8928.55,2345.18),(7848,3132),(6112.72,4006.67),(5508,1908),(8118,7974),(6245.98,6215.73),(7397.56,7128.46),(2707.01,6356.28),(5022,7110),(2709.18,5201.51),(1962,3636),(1834.33,2981.67),(1848.82,1023.54),(2843.01,816.979),(5184,1908),(5796,936),(5498.66,738),(4140,3132),(4356,3348)
时间4,(9082.01,4662),(6687.15,1079.38),(5508,4068),(9628.9,7981.5),(9260.66,7650),(13664,5826.83),(9155.9,7316.88),(9747.86,235.053),(9747.86,235.053),(13197,4294.38),(8531.45,2352.82),(9198,2340),(7656.17,3404.6),(6030,4050),(5521.88,2241.05),(7784.77,7965.67),(6372,6210),(7380,7128),(2772,6282),(5355.34,7110),(2394,5184),(2027.37,3962.86),(1818,2898),(1854,1008),(3175.52,793.468),(5508,1908),(5832,738),(5165.33,738),(4472.92,3148.65),(4104,3348)
时间5,(9162,4662),(6624,1332),(5292,4284),(9630,7992),(9144,7650),(13863,6094.24),(9162,7146),(10081.2,229.404),(10081.2,229.404),(13174,3961.84),(8262,2358),(9198,2006.66),(7506,3618),(5994,4356),(5526,2340),(7451.54,7957.34),(6698.86,6275.37),(7430.69,7457.46),(2552.5,6532.86),(5616,7110),(2160,4950),(2088,4266),(1881.84,3225.17),(1748.59,1324.23),(3508.02,769.958),(5184,1908),(5832,404.664),(4831.99,738),(4500,3150),(3852,3330)
时间6,(8828.66,4662),(6876,1350),(5004,4302),(9296.66,7992),(9161.52,7982.88),(14062,6361.65),(9169.24,6812.74),(10414.4,223.755),(10414.4,223.755),(13151,3629.29),(7928.86,2346.51),(9198,1673.33),(7722,3636),(5886,4554),(5536.41,2673.17),(7398,7956),(6732,6282),(7452,7596),(2332.99,6783.72),(5282.66,7110),(2124,4662),(2421.32,4268.92),(1945.67,3552.33),(1643.18,1640.46),(3840.53,746.447),(5058,1800),(5832,288),(4498.66,738),(4356,3348),(3518.66,3330)
时间7,(8495.33,4662),(6844.4,1681.83),(4673.46,4345.11),(9162,7992),(9162,7992),(14261,6629.07),(9176.49,6479.49),(10747.7,218.106),(10747.7,218.106),(13128,3296.75),(7740,2340),(9198,1494),(7506,3618),(5994,4356),(5544,2916),(7064.66,7956),(7065.21,6272.74),(7402.55,7925.65),(2268,6858),(5022,7110),(2093.82,4330.03),(2754.65,4271.85),(1962,3636),(1638,1656),(3960,738),(5013.95,1469.59),(5498.87,299.792),(4165.32,738),(4104,3348),(3438,3330)
时间8,(8161.99,4662),(6840,1728),(4590,4356),(9144.48,7659.12),(9495.34,7992),(14418,6840),(9180,6318),(10872,216),(10872,216),(13105,2964.21),(8073.14,2351.49),(9084.45,1180.6),(7452,3888),(6030,4050),(5364,2952),(6750,7956),(7380,6264),(7398,7956),(1938.15,6906.1),(4688.66,7110),(2088,4266),(3087.97,4274.77),(1632.35,3685.45),(1671.17,1987.68),(3627.49,761.511),(4986,1260),(5165.75,311.584),(3960,738),(4134.18,3679.97),(3312,3348)
时间9,(8082,4662),(6871.6,1396.17),(4338,4248),(9144,7650),(9630,7992),(14084.7,6840),(9174.35,5984.71),(10538.7,221.649),(10944.3,541.398),(13082,2631.67),(8262,2358),(8970.9,867.201),(7119.82,3860.32),(6361.68,4083.17),(5535.5,3237.83),(6416.83,7945.42),(7713.24,6272.13),(7064.66,7956),(1608.31,6954.21),(4644,7110),(1754.66,4266),(3421.29,4277.7),(1302.7,3734.89),(1674,2016),(3294.99,785.021),(4655.76,1305.33),(4832.62,323.376),(4014.8,1066.8),(4140,3744),(3186,3366)
时间10,(8415.34,4662),(6876,1350),(4590,4356),(9155.9,7316.88),(9963.32,7994.95),(14040,6840),(9168.7,5651.42),(10205.4,227.298),(11016.6,866.797),(13068,2430),(8595.27,2351.59),(8857.35,553.802),(7020,3852),(6390,4086),(5580,3312),(6083.66,7934.85),(8046.47,6280.26),(6750,7956),(1404,6984),(4310.66,7110),(1421.33,4266),(3754.62,4280.62),(1242,3744),(1341.54,2040.09),(2962.48,808.532),(4325.52,1350.65),(4499.49,335.168),(4068,1386),(3806.72,3749.85),(3126.37,3693.96)
