0,(4104,5688),(9198,4392),(7452,1368),(6768,756),(1404,6984),(9972,5256),(10422,4230),(3168,3186),(7434,2376),(1458,7092)
1,(4067,5356),(9106,4662),(7784,1345),(6684,433),(1345,6655),(10305,5243),(10433,4563),(3474,3186),(7443,2709),(1791,7082)
2,(4194,5238),(8773,4662),(8117,1323),(6460,288),(1291,6314),(10624,5246),(10445,4896),(3566,2976),(7419,3032),(2106,7074)
3,(4525,5203),(8439,4662),(8272,1480),(6127,288),(1247,5984),(10957,5264),(10458,5238),(3908,2939),(7406,3051),(2437,7105)
4,(4882,5184),(8082,4662),(8292,1813),(5832,343),(1185,5651),(11308,5280),(10124,5250),(4104,2808),(7347,2883),(2761,7110)
5,(5209,5198),(8060,4329),(8284,1686),(5832,676),(1109,5327),(11641,5292),(9846,5347),(4104,2916),(7334,2870),(3095,7110)
6,(5551,5216),(8053,4214),(8264,1353),(5832,460),(1036,4984),(11974,5305),(9846,5680),(4104,2808),(7074,2718),(3428,7110)
7,(5338,5205),(8074,4547),(8278,1591),(5832,454),(966,4643),(12307,5317),(9839,6031),(4104,2916),(7259,2817),(3232,7110)
8,(5551,5216),(8067,4440),(8298,1908),(5776,738),(900,4338),(12640,5330),(9754,6301),(4104,2808),(6966,2691),(2898,7110)
9,(5338,5205),(8046,4104),(8277,1575),(5443,738),(1227,4275),(12974,5343),(9421,6311),(4104,2916),(7074,2718),(2565,7110)
10,(5093,5412),(8379,4098),(8206,1317),(5109,738),(1555,4266),(13203,5577),(9177,6429),(4104,2808),(6965,2690),(2207,7083)
11,(5238,5243),(8712,4093),(7873,1339),(4776,738),(1889,4266),(13387,5855),(9170,6762),(4104,2916),(6858,2664),(2327,7095)
12,(5551,5216),(9045,4088),(7541,1362),(4443,738),(2098,4376),(13571,6133),(9163,7095),(4104,2808),(6966,2691),(2318,7094)
13,(5338,5205),(9193,4307),(7420,1148),(4109,738),(2118,4606),(13755,6411),(8884,7146),(4104,2916),(7074,2718),(2216,7084)
14,(5551,5216),(9168,4612),(7416,838),(3894,584),(2088,4266),(13939,6689),(8550,7146),(4104,2808),(7347,2883),(2428,7104)
15,(5338,5205),(9162,4939),(7424,497),(3841,462),(2022,3939),(13947,6701),(8217,7146),(4104,2916),(7334,2870),(2106,7074)
16,(5551,5216),(9162,5256),(7429,381),(3938,686),(1962,3636),(13763,6423),(7897,7141),(4104,2808),(7412,2948),(2437,7105)
17,(5338,5205),(9162,4922),(7416,720),(3798,360),(2027,3962),(13579,6145),(7564,7132),(4104,2916),(7425,2961),(2207,7083)
18,(5278,5168),(9162,4717),(7429,386),(3929,666),(2088,4266),(13395,5867),(7213,7132),(4104,2808),(7347,2883),(2327,7095)
19,(5278,5168),(9162,5050),(7425,492),(3850,482),(2118,4597),(13211,5589),(6880,7142),(4104,2916),(7334,2870),(2318,7094)
20,(5278,5168),(9162,5144),(7420,608),(3885,564),(2098,4385),(13080,5392),(6972,7139),(4104,2808),(7412,2948),(2216,7084)
21,(5278,5168),(9162,4811),(7434,270),(3894,584),(2044,4048),(13264,5670),(7305,7130),(4104,2916),(7425,2961),(2428,7104)
22,(5278,5168),(9162,4828),(7420,603),(3841,462),(1979,3721),(13448,5948),(7102,7135),(4104,2808),(7347,2883),(2106,7074)
23,(5278,5168),(9162,5162),(7424,497),(3938,686),(2005,3853),(13633,6225),(6750,7146),(4104,2916),(7334,2870),(2437,7105)
24,(5278,5168),(9162,5033),(7429,381),(3798,360),(2070,4180),(13817,6503),(7083,7136),(4104,2808),(7412,2948),(2207,7083)
