 50	-1.10177e+006	6.20297e+006	1.14390e+006	-8.60135e+002	7.65215e+002	9.28577e+002
 60	-1.11102e+006	6.21078e+006	1.15389e+006	-9.92644e+002	7.97310e+002	1.07238e+003
 70	-1.12167e+006	6.21891e+006	1.16540e+006	-1.14003e+003	8.29109e+002	1.23236e+003
 80	-1.13388e+006	6.22736e+006	1.17860e+006	-1.30411e+003	8.61228e+002	1.41049e+003
 90	-1.14782e+006	6.23614e+006	1.19368e+006	-1.48724e+003	8.94487e+002	1.60932e+003
100	-1.16370e+006	6.24526e+006	1.21087e+006	-1.69258e+003	9.29963e+002	1.83228e+003
110	-1.18176e+006	6.25475e+006	1.23042e+006	-1.92438e+003	9.69074e+002	2.08398e+003
120	-1.20229e+006	6.26466e+006	1.25267e+006	-2.18855e+003	1.01372e+003	2.37083e+003
130	-1.22566e+006	6.27505e+006	1.27799e+006	-2.49352e+003	1.06655e+003	2.70197e+003
140	-1.25234e+006	6.28603e+006	1.30690e+006	-2.85185e+003	1.13140e+003	3.09103e+003
150	-1.28294e+006	6.29774e+006	1.34007e+006	-3.28340e+003	1.21422e+003	3.55955e+003
160	-1.31836e+006	6.31041e+006	1.37847e+006	-3.82214e+003	1.32505e+003	4.14437e+003
170	-1.35995e+006	6.32440e+006	1.42358e+006	-4.53372e+003	1.48316e+003	4.91670e+003
