-985807.6791	6221785.684	1008869.734
-985941.0016	6221984.071	1009056.818
-986103.7323	6222108.405	1009240.276
-986249.5163	6222273.253	1009412.432
-986400.2416	6222368.651	1009608.127
-986517.2283	6222492.905	1009772.49
-986703.1117	6222733.641	1009982.06
-986846.7343	6222879.243	1010153.874
-987000.5895	6223014.373	1010351.008
-987179.2447	6223261.222	1010541.677
-987297.6257	6223345.74	1010728.076
-987477.0139	6223518.923	1010919.08
-987600.7089	6223643.436	1011096.722
-987738.3876	6223709.566	1011281.633
-987930.7693	6223977.591	1011482.638
-988092.6195	6224119.862	1011673.363
-988243.3243	6224297.679	1011872.453
-988399.2911	6224416.092	1012074.902
-988527.2838	6224544.831	1012247.151
-988674.7872	6224605.47	1012414.439
-988840.5441	6224807.398	1012611.291
-988999.6659	6224986.596	1012813.761
-989164.4474	6225151.465	1013029.841
-989372.7733	6225475.178	1013264.232
-989468.3681	6225396.807	1013412.267
-989690.3635	6225764.885	1013672.321
-989814.0633	6225766.062	1013809.875
-989978.1178	6225940.38	1014006.455
-990136.1336	6226069.325	1014217.337
-990297.6658	6226236.785	1014419.338
-990482.0898	6226439.807	1014639.433
-990605.7464	6226549.666	1014824.398
-990755.5362	6226617.462	1014992.931
-990971.3203	6226957.73	1015261.633
-991138.0716	6227073.687	1015455.343
-991298.892	6227175.244	1015629.383
-991464.891	6227345.192	1015859.478
-991611.5431	6227496.135	1016061.343
-991832.7558	6227771.296	1016284.609
-991859.7301	6227430.288	1016358.073
-992157.9908	6228055.541	1016730.518
-992284.739	6228026.673	1016864.316
-992460.431	6228308.799	1017113.992
-992671.043	6228540.868	1017348.612
-992836.4848	6228675.224	1017540.247
-992984.9009	6228717.807	1017714.496
-993191.6122	6229004.217	1017984.336
-993331.1655	6229047.452	1018173.514
-993499.4886	6229260.037	1018396.302
-993711.3931	6229501.644	1018625.73
-993897.211	6229708.515	1018868.285
-994053.1457	6229760.33	1019040.436
-994246.024	6230005.641	1019297.508
-994414.7318	6230077.75	1019482.187
-994129.4941	6228626.211	1019231.541
-994753.1007	6230402.596	1019922.314
-994959.1506	6230632.371	1020181.848
-995146.3042	6230792.59	1020372.064
-995322.4429	6230947.443	1020587.587
-995483.8738	6231059.545	1020811.746
-995666.1776	6231161.586	1021028.783
-995856.8953	6231415.855	1021268.642
-996023.0089	6231507.686	1021463.896
-996221.7361	6231720.962	1021724.493
-996435.5531	6231989.407	1021972.854
-996591.0068	6232050.786	1022181.781
-996823.4717	6232376.078	1022451.236
-996969.0567	6232357.845	1022642.975
-997197.5903	6232641.201	1022877.571
-997309.6443	6232571.777	1023044.993
-997519.5733	6232874.165	1023323.799
-997772.1285	6233167.12	1023598.513
-997919.8834	6233242.492	1023816.557
-998136.3224	6233494.736	1024073.89
-998292.8568	6233526.613	1024272.736
-998493.8407	6233751.754	1024519.418
-998723.5077	6233955.378	1024774.897
-998877.9977	6234108.766	1024992.06
-999073.4627	6234227.403	1025232.13
-999275.5556	6234388.514	1025479.379
-999482.8508	6234635.247	1025732.479
-999688.8507	6234749.641	1025965.461
-999858.0785	6234940.663	1026195.589
-1000058.3	6235057.633	1026433.21
-1000294.493	6235365.636	1026717.224
-1000512.324	6235607.568	1026973.169
-1000647.973	6235604.913	1027191.703
-1000872.594	6235786.021	1027433.19
-1001055.099	6235944.771	1027669.422
-1001284.005	6236191.633	1027957.226
-1001414.085	6236104.901	1028093.485
-1001681.264	6236495.274	1028425.893
